Nombre del Sujeto Obligado:,Alcaldía Tlalpan
Formato:,Obra pública o servicios
Periodo:,
ID,FECHA CREACION, FECHA MODIFICACION,"EJERCICIO","FECHA DE INICIO DEL PERIODO QUE SE INFORMA (DÍA/MES/AÑO)","FECHA DE TÉRMINO DEL PERIODO QUE SE INFORMA (DÍA/MES/AÑO)","DENOMINACIÓN DE LA OBRA O SERVICIOS RELACIONADOS","NÚMERO DE CONTRATO","FECHA DEL CONTRATO","MONTO TOTAL DE LA OBRA O SERVICIOS RELACIONADOS","TIPO DE VIALIDAD","NOMBRE DE VIALIDAD","NÚMERO EXTERIOR","NÚMERO INTERIOR  EN SU CASO","TIPO DE ASENTAMIENTO HUMANO","NOMBRE DEL ASENTAMIENTO HUMANO","CLAVE DE LA LOCALIDAD","NOMBRE DE LA LOCALIDAD","CLAVE DE LA DEMARCACIÓN TERRITORIAL O MUINICIPIO","NOMBRE DE LA DEMARCACIÓN TERRITORIAL O MUNICIPIO","CLAVE DE LA ENTIDAD FEDERATIVA","NOMBRE DE LA ENTIDAD FEDERATIVA","CÓDIGO POSTAL","FECHA DE INICIO","FECHA DE TÉRMINO","SUJETO OBLIGADO ORDENADOR DE LA OBRA","SUJETO OBLIGADO RESPONSABLE DE LA OBRA","NOMBRE DEL PROVEEDOR  CONTRATISTA O PERSONA FÍSICA","HIPERVÍNCULO MECANISMOS DE VIGILANCIA DE LA OBRA","HIPERVÍNCULO ESTUDIOS IMPACTO AMBIENTAL Y SÍSMICOS","ÁREA(S) RESPONSABLE(S) DE LA INFORMACIÓN","FECHA DE VALIDACIÓN","FECHA DE ACTUALIZACIÓN","NOTA"
40541424,"18/03/21","18/03/21","2019","01/07/2019","30/09/2019","SUPERVISIÓN PARA LA REHABILITACIÓN A LA RED DE AGUA POTABLE EN: 1.- PUEBLO QUIETO","ATL-ADS-023-L-SOH-028-19","12/09/2019","124710.37","Calle","Melchor Ocampo entre Viaducto Tlalpan y Camino Viejo a San Pedro Mártir","S/N","S/N","Colonia","Villa Tlalpan","12","ALCALDIA TLALPAN","12","ALCALDIA TLALPAN","09","CIUDAD DE MEXICO","14630","13/09/2019","11/12/2019","DIRECCIÓN GENERAL DE OBRAS Y DESARROLLO URBANO","JEFATURA DE UNIDAD DEPARTAMENTAL DE OBRAS HIDRAULICAS","VAGACOR CONSULTORES, S.A. DE C.V.","http://www.contraloria.cdmx.gob.mx/pcontraloria/denuncia.php","http://www.repositoriotlalpan.gob.mx:8080/DGODU/NO-ESTUDIOS-IMPACTOAMBSIS.pdf","Dirección General de Obras y Desarrollo Urbano","30/09/2019","30/09/2019",""
40541378,"18/03/21","18/03/21","2019","01/07/2019","30/09/2019","SUPERVISIÓN PARA EL MANTENIMIENTO Y REHABILITACIÓN DE INFRAESTRUCTURA EDUCATIVA","ATL-ADS-016-L-SOB-020-19","12/09/2019","221505.9","Calle","ROSAL","248","S/N","Pueblo","SAN PEDRO MARTIR","12","ALCALDIA TLALPAN","12","ALCALDIA TLALPAN","09","CIUDAD DE MEXICO","14650","12/09/2019","25/11/2019","DIRECCIÓN GENERAL DE OBRAS Y DESARROLLO URBANO","JEFATURA DEPARTAMENTAL DE INFRAESTRUCTURA DE PLANTELES EDUCATIVOS","JULIO CESAR HERNANDEZ GARCIA","http://www.contraloria.cdmx.gob.mx/pcontraloria/denuncia.php","http://www.repositoriotlalpan.gob.mx:8080/DGODU/NO-ESTUDIOS-IMPACTOAMBSIS.pdf","Dirección General de Obras y Desarrollo Urbano","30/09/2019","30/09/2019",""
40541274,"18/03/21","18/03/21","2019","01/07/2019","30/09/2019","MANTENIMIENTO Y REHABILITACIÓN DE INFRAESTRUCTURA EDUCATIVA","ATL-LP-001-L-OB-030-19","12/09/2019","5638946.66","Calle","PUENTE DE PIEDRA","72","S/N","Colonia","TORIELLO GUERRA","12","ALCALDIA TLALPAN","12","ALCALDIA TLALPAN","09","CIUDAD DE MEXICO","14050","12/09/2019","10/12/2019","DIRECCIÓN GENERAL DE OBRAS Y DESARROLLO URBANO","JEFATURA DEPARTAMENTAL DE INFRAESTRUCTURA DE PLANTELES EDUCATIVOS","INGENIERÍA, ASESORÍA Y MANTENIMIENTO, S.A. DE C.V.","http://www.contraloria.cdmx.gob.mx/pcontraloria/denuncia.php","http://www.repositoriotlalpan.gob.mx:8080/DGODU/NO-ESTUDIOS-IMPACTOAMBSIS.pdf","Dirección General de Obras y Desarrollo Urbano","30/09/2019","30/09/2019",""
40541386,"18/03/21","18/03/21","2019","01/07/2019","30/09/2019","ELABORACIÓN DE PROYECTO DE LEVANTAMIENTO FÍSICO DE NECESIDADES Y SEGUIMIENTO DE LAS OBRAS PARA EL MEJORAMIENTO DE LA INFRAESTRUCTURA EDUCATIVA DE NIVEL BÁSICO Y LA CONSTRUCCIÓN DE TECHUMBRES EN DIVERSAS UBICACIONES","ATL-ADS-069-L-SOB-099-19","12/09/2019","221505.9","Calle","MORELOS Y LEONA VICARIO","S/N","S/N","Pueblo","SANTO TOMAS AJUSCO","12","ALCALDIA TLALPAN","12","ALCALDIA TLALPAN","09","CIUDAD DE MEXICO","14650","23/10/2019","31/12/2019","DIRECCIÓN GENERAL DE OBRAS Y DESARROLLO URBANO","JEFATURA DEPARTAMENTAL DE INFRAESTRUCTURA DE PLANTELES EDUCATIVOS","DOLORES SAGRERO MUNGUIA","http://www.contraloria.cdmx.gob.mx/pcontraloria/denuncia.php","http://www.repositoriotlalpan.gob.mx:8080/DGODU/NO-ESTUDIOS-IMPACTOAMBSIS.pdf","Dirección General de Obras y Desarrollo Urbano","30/09/2019","30/09/2019",""
40541330,"18/03/21","18/03/21","2019","01/07/2019","30/09/2019","MEJORAMIENTO DE LA INFRAESTRUCTURA EDUCATIVA DEL NIVEL BÁSICO Y LA CONSTRUCCIÓN DE TECHUMBRES: MEJORAMIENTO A LA INFRAESTRUCTURA EDUCATIVA DE NIVEL BÁSICO EN DIVERSAS UBICACIONES","ATL-LP-068-L-OB-152-19","01/11/2019","8243726.4","Calle","HIDALGO Y MARIANO ESCOBEDO","S/N","S/N","Pueblo","SAN MIGUEL AJUSCO","12","ALCALDIA TLALPAN","12","ALCALDIA TLALPAN","09","CIUDAD DE MEXICO","14700","01/11/2012","31/12/2019","DIRECCIÓN GENERAL DE OBRAS Y DESARROLLO URBANO","JEFATURA DEPARTAMENTAL DE INFRAESTRUCTURA DE PLANTELES EDUCATIVOS","REMASA RESISTENCIA DE MATERIALES, S.A. DE C.V.","http://www.contraloria.cdmx.gob.mx/pcontraloria/denuncia.php","http://www.repositoriotlalpan.gob.mx:8080/DGODU/NO-ESTUDIOS-IMPACTOAMBSIS.pdf","Dirección General de Obras y Desarrollo Urbano","30/09/2019","30/09/2019",""
40541331,"18/03/21","18/03/21","2019","01/07/2019","30/09/2019","MEJORAMIENTO DE LA INFRAESTRUCTURA EDUCATIVA DEL NIVEL BÁSICO Y LA CONSTRUCCIÓN DE TECHUMBRES: MEJORAMIENTO A LA INFRAESTRUCTURA EDUCATIVA DE NIVEL BÁSICO EN DIVERSAS UBICACIONES","ATL-LP-068-L-OB-152-19","01/11/2019","8243726.4","Calle","MIGUEL HIDALGO","S/N","S/N","Pueblo","PARRES","12","ALCALDIA TLALPAN","12","ALCALDIA TLALPAN","09","CIUDAD DE MEXICO","14900","01/11/2012","31/12/2019","DIRECCIÓN GENERAL DE OBRAS Y DESARROLLO URBANO","JEFATURA DEPARTAMENTAL DE INFRAESTRUCTURA DE PLANTELES EDUCATIVOS","REMASA RESISTENCIA DE MATERIALES, S.A. DE C.V.","http://www.contraloria.cdmx.gob.mx/pcontraloria/denuncia.php","http://www.repositoriotlalpan.gob.mx:8080/DGODU/NO-ESTUDIOS-IMPACTOAMBSIS.pdf","Dirección General de Obras y Desarrollo Urbano","30/09/2019","30/09/2019",""
40541433,"18/03/21","18/03/21","2019","01/07/2019","30/09/2019","REHABILITACIÓN A LA RTED DE AGUA POTABLE EN, 1.- PUEBLO QUIETO","ATL-LP-018-L-OH-047-19","18/09/2019","2384411.71","Calle","CUAUHNOCTLI ENTRE CUAUHTEMOC Y LIMITE","S/N","S/N","Colonia","PUEBLO QUIETO","12","ALCALDIA TLALPAN","12","ALCALDIA TLALPAN","09","CIUDAD DE MEXICO","14040","19/09/2019","17/12/2019","DIRECCIÓN GENERAL DE OBRAS Y DESARROLLO URBANO","JEFATURA DE UNIDAD DEPARTAMENTAL DE OBRAS HIDRAULICAS","PROyECTOS Y COSNTRUCCIONES R-B-V, S.A. DE C.V","http://www.contraloria.cdmx.gob.mx/pcontraloria/denuncia.php","http://www.repositoriotlalpan.gob.mx:8080/DGODU/NO-ESTUDIOS-IMPACTOAMBSIS.pdf","Dirección General de Obras y Desarrollo Urbano","30/09/2019","30/09/2019",""
40541389,"18/03/21","18/03/21","2019","01/07/2019","30/09/2019","ELABORACIÓN DE PROYECTO DE LEVANTAMIENTO FÍSICO DE NECESIDADES Y SEGUIMIENTO DE LAS OBRAS PARA EL MEJORAMIENTO DE LA INFRAESTRUCTURA EDUCATIVA DE NIVEL BÁSICO Y LA CONSTRUCCIÓN DE TECHUMBRES EN DIVERSAS UBICACIONES","ATL-ADS-069-L-SOB-099-19","12/09/2019","221505.9","Calle","HIDALGO Y MARIANO ESCOBEDO","S/N","S/N","Pueblo","SAN MIGUEL AJUSCO","12","ALCALDIA TLALPAN","12","ALCALDIA TLALPAN","09","CIUDAD DE MEXICO","14700","23/10/2019","31/12/2019","DIRECCIÓN GENERAL DE OBRAS Y DESARROLLO URBANO","JEFATURA DEPARTAMENTAL DE INFRAESTRUCTURA DE PLANTELES EDUCATIVOS","DOLORES SAGRERO MUNGUIA","http://www.contraloria.cdmx.gob.mx/pcontraloria/denuncia.php","http://www.repositoriotlalpan.gob.mx:8080/DGODU/NO-ESTUDIOS-IMPACTOAMBSIS.pdf","Dirección General de Obras y Desarrollo Urbano","30/09/2019","30/09/2019",""
40541435,"18/03/21","18/03/21","2019","01/07/2019","30/09/2019","REHABILITACIÓN A LA RTED DE AGUA POTABLE EN, 1.- PUEBLO QUIETO","ATL-LP-018-L-OH-047-19","18/09/2019","2384411.71","Calle","LAZARO CARDENAS ENTRE CIRCUITO AZTECA Y HOSPITAL MEDICA SUR","S/N","S/N","Colonia","PUEBLO QUIETO","12","ALCALDIA TLALPAN","12","ALCALDIA TLALPAN","09","CIUDAD DE MEXICO","14040","19/09/2019","17/12/2019","DIRECCIÓN GENERAL DE OBRAS Y DESARROLLO URBANO","JEFATURA DE UNIDAD DEPARTAMENTAL DE OBRAS HIDRAULICAS","PROyECTOS Y COSNTRUCCIONES R-B-V, S.A. DE C.V","http://www.contraloria.cdmx.gob.mx/pcontraloria/denuncia.php","http://www.repositoriotlalpan.gob.mx:8080/DGODU/NO-ESTUDIOS-IMPACTOAMBSIS.pdf","Dirección General de Obras y Desarrollo Urbano","30/09/2019","30/09/2019",""
40541436,"18/03/21","18/03/21","2019","01/07/2019","30/09/2019","REHABILITACIÓN A LA RTED DE AGUA POTABLE EN, 1.- PUEBLO QUIETO","ATL-LP-018-L-OH-047-19","18/09/2019","2384411.71","Calle","CAUHTEMOC ENTRE PUENTE DE PIEDRA Y CIRCUITO AZTECA","S/N","S/N","Colonia","PUEBLO QUIETO","12","ALCALDIA TLALPAN","12","ALCALDIA TLALPAN","09","CIUDAD DE MEXICO","14040","19/09/2019","17/12/2019","DIRECCIÓN GENERAL DE OBRAS Y DESARROLLO URBANO","JEFATURA DE UNIDAD DEPARTAMENTAL DE OBRAS HIDRAULICAS","PROyECTOS Y COSNTRUCCIONES R-B-V, S.A. DE C.V","http://www.contraloria.cdmx.gob.mx/pcontraloria/denuncia.php","http://www.repositoriotlalpan.gob.mx:8080/DGODU/NO-ESTUDIOS-IMPACTOAMBSIS.pdf","Dirección General de Obras y Desarrollo Urbano","30/09/2019","30/09/2019",""
40541281,"18/03/21","18/03/21","2019","01/07/2019","30/09/2019","MANTENIMIENTO Y REHABILITACIÓN DE INFRAESTRUCTURA EDUCATIVA","ATL-LP-004-L-OB-033-19","12/09/2019","4224808.59","Calle","MARIA HERNANDEZ ZARCO Y ROQUE ESTRADA","S/N","S/N","Colonia","BELISARIO DOMINGUEZ","12","ALCALDIA TLALPAN","12","ALCALDIA TLALPAN","09","CIUDAD DE MEXICO","14310","12/09/2019","10/11/2019","DIRECCIÓN GENERAL DE OBRAS Y DESARROLLO URBANO","JEFATURA DEPARTAMENTAL DE INFRAESTRUCTURA DE PLANTELES EDUCATIVOS","ANTARES, CONSTRUCCIÓN Y ACABADOS, S.A. DE C.V.","http://www.contraloria.cdmx.gob.mx/pcontraloria/denuncia.php","http://www.repositoriotlalpan.gob.mx:8080/DGODU/NO-ESTUDIOS-IMPACTOAMBSIS.pdf","Dirección General de Obras y Desarrollo Urbano","30/09/2019","30/09/2019",""
40541338,"18/03/21","18/03/21","2019","01/07/2019","30/09/2019","SUPERVISIÓN PARA EL MANTENIMIENTO Y REHABILITACIÓN DE INFRAESTRUCTURA EDUCATIVA","ATL-ADS-007-L-SOB-011-19","06/09/2019","297851.63","Calle","LA MESA","S/N","S/N","Colonia","SANTA ÚRSULA XITLA","12","ALCALDIA TLALPAN","12","ALCALDIA TLALPAN","09","CIUDAD DE MEXICO","14420","06/09/2019","19/12/2019","DIRECCIÓN GENERAL DE OBRAS Y DESARROLLO URBANO","JEFATURA DEPARTAMENTAL DE INFRAESTRUCTURA DE PLANTELES EDUCATIVOS","MORGEN, S.A. DE C.V.","http://www.contraloria.cdmx.gob.mx/pcontraloria/denuncia.php","http://www.repositoriotlalpan.gob.mx:8080/DGODU/NO-ESTUDIOS-IMPACTOAMBSIS.pdf","Dirección General de Obras y Desarrollo Urbano","30/09/2019","30/09/2019",""
40541390,"18/03/21","18/03/21","2019","01/07/2019","30/09/2019","ELABORACIÓN DE PROYECTO DE LEVANTAMIENTO FÍSICO DE NECESIDADES Y SEGUIMIENTO DE LAS OBRAS PARA EL MEJORAMIENTO DE LA INFRAESTRUCTURA EDUCATIVA DE NIVEL BÁSICO Y LA CONSTRUCCIÓN DE TECHUMBRES EN DIVERSAS UBICACIONES","ATL-ADS-069-L-SOB-099-19","12/09/2019","221505.9","Calle","MIGUEL HIDALGO","S/N","S/N","Pueblo","PARRES","12","ALCALDIA TLALPAN","12","ALCALDIA TLALPAN","09","CIUDAD DE MEXICO","14900","23/10/2019","31/12/2019","DIRECCIÓN GENERAL DE OBRAS Y DESARROLLO URBANO","JEFATURA DEPARTAMENTAL DE INFRAESTRUCTURA DE PLANTELES EDUCATIVOS","DOLORES SAGRERO MUNGUIA","http://www.contraloria.cdmx.gob.mx/pcontraloria/denuncia.php","http://www.repositoriotlalpan.gob.mx:8080/DGODU/NO-ESTUDIOS-IMPACTOAMBSIS.pdf","Dirección General de Obras y Desarrollo Urbano","30/09/2019","30/09/2019",""
